City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country Name,Date
177,hami,42.8,93.45,88.97,14,0,12.46,CN,1660532191
178,luderitz,-26.6481,15.1594,53.76,56,31,8.77,NA,1660532192
179,warrnambool,-38.3833,142.4833,54.63,71,97,23.38,AU,1660532192
180,tornio,65.8481,24.1466,44.62,69,66,7.92,FI,1660532193
181,kampenhout,50.95,4.55,70.77,65,0,5.75,BE,1660532193
182,cabo san lucas,22.8909,-109.9124,85.39,77,78,7.23,MX,1660532194
183,chanute,37.6792,-95.4572,88.02,33,76,7.61,US,1660532195
184,guia de isora,28.2115,-16.7795,67.06,92,18,6.04,ES,1660532195
185,high level,58.5169,-117.136,71.71,73,75,0.0,CA,1660532196
186,vila velha,-20.3297,-40.2925,62.94,93,100,5.75,BR,1660532196
187,pemangkat,1.1667,108.9667,84.94,67,98,5.19,ID,1660532197
188,torbay,47.6666,-52.7314,67.28,96,100,6.91,CA,1660532197
189,westport,41.1415,-73.3579,67.96,63,31,5.99,US,1660532139
190,sibolga,1.7427,98.7792,84.36,59,95,2.71,ID,1660532198
191,kahului,20.8947,-156.47,80.83,82,58,10.0,US,1660532199
192,banda aceh,5.5577,95.3222,85.01,65,99,5.99,ID,1660532200
193,ileza,61.0533,43.9002,55.02,76,7,2.95,RU,1660532200
194,pacific grove,36.6177,-121.9166,58.86,88,75,12.66,US,1660532201
195,ryomgard,56.3843,10.503,61.57,90,61,1.99,DK,1660532201
196,vitim,59.4511,112.5578,63.01,47,92,5.01,RU,1660532201
197,half moon bay,37.4636,-122.4286,62.73,82,100,11.5,US,1660532202
198,gisborne,-38.6533,178.0042,52.9,57,100,3.6,NZ,1660532093
199,presidencia roque saenz pena,-26.7852,-60.4388,74.5,50,28,6.04,AR,1660532203
200,chon daen,16.1895,100.8596,82.18,88,100,1.25,TH,1660532203
201,santa isabel,-23.3156,-46.2214,64.17,75,0,2.42,BR,1660532204
202,monrovia,6.3005,-10.7969,74.35,92,100,9.26,LR,1660532083
203,sept-iles,50.2001,-66.3821,60.22,94,75,2.3,CA,1660532205
204,christchurch,-43.5333,172.6333,51.15,70,100,14.97,NZ,1660532205
205,muravlenko,63.7898,74.523,43.16,82,100,25.23,RU,1660532206
206,severo-kurilsk,50.6789,156.125,57.85,97,100,23.02,RU,1660532197
207,hithadhoo,-0.6,73.0833,82.9,73,43,9.84,MV,1660532207
208,gorontalo,0.5412,123.0595,87.82,58,70,7.29,ID,1660532207
209,asau,46.4333,26.4,63.52,90,100,4.38,RO,1660532208
210,ilulissat,69.2167,-51.1,40.98,87,100,4.09,GL,1660532208
211,san andres,12.5847,-81.7006,82.42,83,20,6.91,CO,1660532209
212,hermanus,-34.4187,19.2345,39.79,68,8,8.39,ZA,1660532056
213,alofi,-19.0595,-169.9187,73.29,78,98,21.85,NU,1660532209
214,faya,18.3851,42.4509,63.12,74,99,4.74,SA,1660532210
215,calamar,10.2511,-74.9146,76.87,92,100,4.34,CO,1660532210
216,marzuq,14.4,46.4667,77.77,61,100,7.02,YE,1660532211
217,pompeu,-19.2244,-44.9353,59.47,50,0,6.53,BR,1660532212
218,portoferraio,42.8115,10.3146,72.48,72,11,11.45,IT,1660532212
219,katsuura,35.1333,140.3,85.37,76,100,13.15,JP,1660532213
220,hammonton,39.6365,-74.8024,65.7,80,90,4.63,US,1660532213
221,la ronge,55.1001,-105.2842,70.05,64,75,5.75,CA,1660532214
222,come,6.4076,1.882,72.72,95,100,12.33,BJ,1660532214
223,munoz,15.7161,120.9031,85.44,72,84,6.69,PH,1660532215
224,muyezerskiy,63.9333,31.65,58.12,86,57,2.98,RU,1660532215
225,nanortalik,60.1432,-45.2371,44.26,96,88,6.64,GL,1660532216
226,amapa,1.0,-52.0,69.76,97,74,2.24,BR,1660532216
227,victoria,22.2855,114.1577,89.15,77,94,4.0,HK,1660531985
228,honiara,-9.4333,159.95,82.81,77,32,3.38,SB,1660532217
229,umm kaddadah,13.6017,26.6876,75.88,71,100,9.98,SD,1660532217
230,barrow,71.2906,-156.7887,37.42,87,100,12.66,US,1660532218
231,thinadhoo,0.5333,72.9333,83.37,73,40,11.61,MV,1660532213
232,painesville,41.7245,-81.2457,65.57,84,100,0.0,US,1660532218
233,hai duong,20.9333,106.3167,87.8,70,15,4.88,VN,1660532219
234,terra nova,-12.3667,-40.6667,63.45,81,93,5.03,BR,1660532143
235,khalkhal,37.6189,48.5258,68.5,44,0,4.16,IR,1660532220
236,bria,6.5423,21.9863,68.56,97,100,3.24,CF,1660532220
237,quatre cocos,-20.2078,57.7625,68.09,67,84,20.09,MU,1660532221
238,plerin,48.5425,-2.7798,60.24,91,20,1.99,FR,1660532221
239,amurzet,47.6967,131.0981,76.42,55,6,5.99,RU,1660532222
240,mastic beach,40.7668,-72.8521,68.65,75,96,7.0,US,1660532222
241,ostrovnoy,68.0531,39.5131,48.63,74,31,7.05,RU,1660532223
242,cockburn town,21.4612,-71.1419,82.35,74,7,14.25,TC,1660532155
243,praya,14.9215,-23.5087,78.12,81,48,8.34,CV,1660532224
244,san patricio,28.017,-97.5169,77.05,81,100,13.11,US,1660532224
245,hurricane,37.1753,-113.2899,77.47,50,68,5.26,US,1660532225
246,leningradskiy,69.3833,178.4167,36.81,77,92,5.17,RU,1660532226
